[2018-06-29 04:48:39]	##第一条日志##
[2018-07-02 05:03:24]	##读取配置文件....
[2018-07-02 05:03:24]	##初始化网络连接...
[2018-07-02 05:03:24]	##端口监听失败！
[2018-07-02 05:03:24]	##释放资源......
[2018-07-02 05:04:51]	##读取配置文件....
[2018-07-02 05:04:51]	##初始化网络连接...
[2018-07-02 05:04:51]	##服务器已开启！已连接客户端数量：0
[2018-07-02 05:05:55]	##读取配置文件....
[2018-07-02 05:05:55]	##释放资源......
[2018-07-02 05:35:14]	##读取配置文件....
[2018-07-02 05:35:14]	##初始化网络连接...
[2018-07-02 05:35:14]	##服务器已开启！已连接客户端数量：0
[2018-07-02 05:36:14]	##读取配置文件....
[2018-07-02 05:36:14]	##初始化网络连接...
[2018-07-02 05:36:14]	##服务器已开启！已连接客户端数量：0
[2018-07-02 05:38:21]	##读取配置文件....
[2018-07-02 05:38:21]	##初始化网络连接...
[2018-07-02 05:38:21]	##服务器已开启！已连接客户端数量：0
[2018-07-02 05:39:28]	##读取配置文件....
[2018-07-02 05:39:28]	##初始化网络连接...
[2018-07-02 05:39:28]	##服务器已开启！已连接客户端数量：0
[2018-07-02 05:40:38]	##客户端127.0.0.1连接成功，已连接客户端数量：1
[2018-07-02 05:40:38]	##已接收到客户端127.0.0.1的信号：1/there

[2018-07-02 05:41:41]	##读取配置文件....
[2018-07-02 05:41:41]	##初始化网络连接...
[2018-07-02 05:41:41]	##服务器已开启！已连接客户端数量：0
[2018-07-02 05:43:19]	##客户端127.0.0.1连接成功，已连接客户端数量：1
[2018-07-02 05:43:19]	##已接收到客户端127.0.0.1的信号：1/there

[2018-07-02 05:43:31]	##已返回数据到客户端
[2018-07-02 05:44:32]	##读取配置文件....
[2018-07-02 05:44:32]	##初始化网络连接...
[2018-07-02 05:44:32]	##服务器已开启！已连接客户端数量：0
[2018-07-02 05:44:35]	##客户端127.0.0.1连接成功，已连接客户端数量：1
[2018-07-02 05:44:35]	##已接收到客户端127.0.0.1的信号：1/there

[2018-07-02 05:44:35]	##已返回数据到客户端
[2018-07-02 05:46:45]	##客户端127.0.0.1连接成功，已连接客户端数量：1
[2018-07-02 05:46:45]	##已接收到客户端127.0.0.1的信号：1/there

[2018-07-02 05:46:45]	##已返回数据到客户端
[2018-07-02 05:46:47]	##客户端127.0.0.1连接成功，已连接客户端数量：1
[2018-07-02 05:46:47]	##已接收到客户端127.0.0.1的信号：1/there

[2018-07-02 05:46:47]	##已返回数据到客户端
[2018-07-02 05:54:33]	##读取配置文件....
[2018-07-02 05:54:33]	##初始化网络连接...
[2018-07-02 05:54:33]	##服务器已开启！已连接客户端数量：0
[2018-07-02 05:54:44]	##
客户端127.0.0.1连接成功，已连接客户端数量：1
[2018-07-02 05:54:44]	##已接收到客户端127.0.0.1的信号：1/there
[2018-07-02 05:54:44]	##已返回数据到客户端
[2018-07-02 05:57:13]	##读取配置文件....
[2018-07-02 05:57:13]	##初始化网络连接...
[2018-07-02 05:57:13]	##服务器已开启！已连接客户端数量：0,工作组数量：4,任务队列大小：8
[2018-07-02 05:57:48]	##客户端127.0.0.1连接成功，已连接客户端数量：1
[2018-07-02 05:57:48]	##已接收到客户端127.0.0.1的信号：1/there
[2018-07-02 05:57:48]	##已返回数据到客户端
[2018-07-02 09:10:20]	##读取配置文件....
[2018-07-02 09:10:20]	##初始化网络连接...
[2018-07-02 09:10:20]	##服务器已开启！已连接客户端数量：0,工作组数量：4,任务队列大小：8
[2018-07-02 09:10:46]	##客户端127.0.0.1连接成功，已连接客户端数量：1
[2018-07-02 09:10:46]	##已接收到客户端127.0.0.1的信号：1/there
[2018-07-02 09:10:46]	##已返回数据到客户端
[2018-07-02 09:13:36]	##读取配置文件....
[2018-07-02 09:13:36]	##初始化网络连接...
[2018-07-02 09:13:36]	##服务器已开启！已连接客户端数量：0,工作组数量：4,任务队列大小：8
[2018-07-02 09:13:53]	##客户端127.0.0.1连接成功，已连接客户端数量：1
[2018-07-02 09:13:53]	##已接收到客户端127.0.0.1的信号：2/there
[2018-07-02 09:13:58]	##已返回数据到客户端
[2018-07-02 09:14:16]	##客户端127.0.0.1连接成功，已连接客户端数量：1
[2018-07-02 09:14:16]	##已接收到客户端127.0.0.1的信号：2/there
[2018-07-02 09:14:21]	##已返回数据到客户端
